source,source_url,fetched_at,page_sha256,model_year,title_prefix,trim_raw,engine_cc,official_price,market_price,effective_date,page_updated_label,row_type
Hatla2ee,https://eg.hatla2ee.com/en/new-car/citroen/C5-Aircross,"Fri, 25 Sep 2026 12:59:34 GMT",6a109f4e0ab45ed59fd05ddc5818d6b86b6870718c80e27797e4255f4ea4d200,2027,Citroën C5 Aircross, A/T / Ultimate,1600 CC,"1,935,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/citroen/C5-Aircross,"Fri, 25 Sep 2026 12:59:34 GMT",6a109f4e0ab45ed59fd05ddc5818d6b86b6870718c80e27797e4255f4ea4d200,2026,Citroën C5 Aircross,A/T / Shine Entry,1600 CC,"1,710,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/citroen/C5-Aircross,"Fri, 25 Sep 2026 12:59:34 GMT",6a109f4e0ab45ed59fd05ddc5818d6b86b6870718c80e27797e4255f4ea4d200,2026,Citroën C5 Aircross,A/T / Shine,1600 CC,"1,850,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/deepal/Deepal_S05,"Fri, 25 Sep 2026 12:59:36 GMT",29cebb2968aa496c1de8b04af44f45df45245afa160796f737a5e38251b489c5,2026,Deepal S 05,A/T / REEV,1500 CC,"1,599,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/deepal/Deepal_S05,"Fri, 25 Sep 2026 12:59:36 GMT",29cebb2968aa496c1de8b04af44f45df45245afa160796f737a5e38251b489c5,2026,Deepal S 05,A/T / BEV,,"1,750,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/haval/haval-H7,"Fri, 25 Sep 2026 12:59:38 GMT",4a1839a5fe6402612b7f6a11f424b510c2e21d9434f55e3aa284e95e3344d930,2027,Haval H7,A/T / Ultra Black,1500 CC,"1,725,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/hyundai/tucson,"Fri, 25 Sep 2026 12:59:41 GMT",bd3ca164ed92a924063488ad1f9a00d9c31a643986dc3dca72fa5c1a0f54208a,2027,Hyundai Tucson,A/T / SHADOW,1600 CC,"1,775,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/hyundai/tucson,"Fri, 25 Sep 2026 12:59:41 GMT",bd3ca164ed92a924063488ad1f9a00d9c31a643986dc3dca72fa5c1a0f54208a,2027,Hyundai Tucson,A/T / Blaze,1600 CC,"1,925,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/hyundai/tucson,"Fri, 25 Sep 2026 12:59:41 GMT",bd3ca164ed92a924063488ad1f9a00d9c31a643986dc3dca72fa5c1a0f54208a,2027,Hyundai Tucson,A/T / Redine,1600 CC,"2,025,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/hyundai/tucson,"Fri, 25 Sep 2026 12:59:41 GMT",bd3ca164ed92a924063488ad1f9a00d9c31a643986dc3dca72fa5c1a0f54208a,2027,Hyundai Tucson,A/T / Redine (N Pack),1600 CC,"2,100,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/hyundai/tucson,"Fri, 25 Sep 2026 12:59:41 GMT",bd3ca164ed92a924063488ad1f9a00d9c31a643986dc3dca72fa5c1a0f54208a,2027,Hyundai Tucson,A/T / NIGHT,1600 CC,"2,175,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/hyundai/tucson,"Fri, 25 Sep 2026 12:59:41 GMT",bd3ca164ed92a924063488ad1f9a00d9c31a643986dc3dca72fa5c1a0f54208a,2027,Hyundai Tucson,A/T / BLACK DIAMOND,1600 CC,"2,275,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/hyundai/tucson,"Fri, 25 Sep 2026 12:59:41 GMT",bd3ca164ed92a924063488ad1f9a00d9c31a643986dc3dca72fa5c1a0f54208a,2027,Hyundai Tucson,A/T / N-Line,1600 CC,"2,375,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/hyundai/tucson,"Fri, 25 Sep 2026 12:59:41 GMT",bd3ca164ed92a924063488ad1f9a00d9c31a643986dc3dca72fa5c1a0f54208a,2025,Hyundai Tucson,A/T / SHADOW,1600 CC,"1,499,000","1,499,000",,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/hyundai/tucson,"Fri, 25 Sep 2026 12:59:41 GMT",bd3ca164ed92a924063488ad1f9a00d9c31a643986dc3dca72fa5c1a0f54208a,2025,Hyundai Tucson,A/T / Blaze,1600 CC,"1,649,000","1,649,000",,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/hyundai/tucson,"Fri, 25 Sep 2026 12:59:41 GMT",bd3ca164ed92a924063488ad1f9a00d9c31a643986dc3dca72fa5c1a0f54208a,2025,Hyundai Tucson,A/T / Redine,1600 CC,"1,749,000","1,749,000",,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/hyundai/tucson,"Fri, 25 Sep 2026 12:59:41 GMT",bd3ca164ed92a924063488ad1f9a00d9c31a643986dc3dca72fa5c1a0f54208a,2025,Hyundai Tucson,A/T / NIGHT,1600 CC,"1,899,000","1,899,000",,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/hyundai/tucson,"Fri, 25 Sep 2026 12:59:41 GMT",bd3ca164ed92a924063488ad1f9a00d9c31a643986dc3dca72fa5c1a0f54208a,2025,Hyundai Tucson,A/T / BLACK DIAMOND,1600 CC,"1,999,000","1,999,000",,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/hyundai/tucson,"Fri, 25 Sep 2026 12:59:41 GMT",bd3ca164ed92a924063488ad1f9a00d9c31a643986dc3dca72fa5c1a0f54208a,2025,Hyundai Tucson,A/T / N-Line,1600 CC,"2,099,000","2,099,000",,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/jetour/T1,"Fri, 25 Sep 2026 12:59:42 GMT",9605ecfcad0e05e4349583d2ef53c1803288adc571d2e189ee8942e417af02fd,2027,Jetour T1,A/T / Luxury,1500 CC,"1,730,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/jetour/T1,"Fri, 25 Sep 2026 12:59:42 GMT",9605ecfcad0e05e4349583d2ef53c1803288adc571d2e189ee8942e417af02fd,2027,Jetour T1,A/T / Matt Color,1500 CC,"1,760,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/jetour/T2,"Fri, 25 Sep 2026 12:59:43 GMT",d53542fa3f1e20e4c4072bf3ed96b37517fcdbb34ddf8aba102eeb7fb34d1f24,2027,Jetour T2,A/T / Luxury,1500 CC,"1,900,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/jetour/T2,"Fri, 25 Sep 2026 12:59:43 GMT",d53542fa3f1e20e4c4072bf3ed96b37517fcdbb34ddf8aba102eeb7fb34d1f24,2027,Jetour T2,A/T / Matt Color,1500 CC,"1,930,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/jetour/T2,"Fri, 25 Sep 2026 12:59:43 GMT",d53542fa3f1e20e4c4072bf3ed96b37517fcdbb34ddf8aba102eeb7fb34d1f24,2027,Jetour T2,A/T / Luxury (i-DM),1500 CC,"2,150,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/kgm/KGM-Torres,"Fri, 25 Sep 2026 12:59:45 GMT",64e1b88b7db64aaea36b957d336e4b0c0138e2ba7c56d7de3ab78dd0f846ac77,2026,KGM Torres,Automtic /comfort,1500 CC,"1,585,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/kgm/KGM-Torres,"Fri, 25 Sep 2026 12:59:45 GMT",64e1b88b7db64aaea36b957d336e4b0c0138e2ba7c56d7de3ab78dd0f846ac77,2026,KGM Torres,Automtic /advanced,1500 CC,"1,720,002",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/kgm/KGM-Torres,"Fri, 25 Sep 2026 12:59:45 GMT",64e1b88b7db64aaea36b957d336e4b0c0138e2ba7c56d7de3ab78dd0f846ac77,2026,KGM Torres,A/T / Premium,1500 CC,"1,850,001",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/kgm/KGM-Torres,"Fri, 25 Sep 2026 12:59:45 GMT",64e1b88b7db64aaea36b957d336e4b0c0138e2ba7c56d7de3ab78dd0f846ac77,2026,KGM Torres,A/T / Luxury,1500 CC,"1,980,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/kgm/KGM-Torres,"Fri, 25 Sep 2026 12:59:45 GMT",64e1b88b7db64aaea36b957d336e4b0c0138e2ba7c56d7de3ab78dd0f846ac77,2026,KGM Torres,Automtic /adventure plus 4*4,1500 CC,"1,999,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/kia/Seltos,"Fri, 25 Sep 2026 12:59:47 GMT",d48331e6880bc1741fb91dd8121103c1d013f3a0378d9dfd5ce411cb7511b164,2025,Kia Seltos,A/T / EX,1500 CC,"1,349,900",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/kia/Seltos,"Fri, 25 Sep 2026 12:59:47 GMT",d48331e6880bc1741fb91dd8121103c1d013f3a0378d9dfd5ce411cb7511b164,2025,Kia Seltos,A/T / Highline,1400 CC,"1,499,900",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/kia/Seltos,"Fri, 25 Sep 2026 12:59:47 GMT",d48331e6880bc1741fb91dd8121103c1d013f3a0378d9dfd5ce411cb7511b164,2025,Kia Seltos,A/T / Top Line,1400 CC,"1,624,900",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/kia/sportage,"Fri, 25 Sep 2026 12:59:49 GMT",db0cf6992266e50644fb7b8c0fb5aab541b7daebbd5931f44eb4e6169ea9c923,2027,Kia Sportage,A/T / LX,1600 CC,"1,825,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/kia/sportage,"Fri, 25 Sep 2026 12:59:49 GMT",db0cf6992266e50644fb7b8c0fb5aab541b7daebbd5931f44eb4e6169ea9c923,2027,Kia Sportage,A/T / EX,1600 CC,"1,925,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/kia/sportage,"Fri, 25 Sep 2026 12:59:49 GMT",db0cf6992266e50644fb7b8c0fb5aab541b7daebbd5931f44eb4e6169ea9c923,2027,Kia Sportage,A/T / Highline,1600 CC,"2,075,000",,,,
