model_id,model_year,trim_key,source,price_type,change,prev_snapshot,prev_value,prev_status,latest_snapshot,latest_value,latest_status,delta_egp,series
m_000001,,gtline,egycar,market,UNCHANGED_NON_NUMERIC,S4_2026-09-25,,NOT_PUBLISHED,S5_2026-09-25,,NOT_PUBLISHED,,S0_2026-09-10=None S1_2026-09-25=None S2_2026-09-25=None S3_2026-09-25=None S4_2026-09-25=None S5_2026-09-25=None
m_000001,,highline,egycar,market,UNCHANGED_NON_NUMERIC,S4_2026-09-25,,NOT_PUBLISHED,S5_2026-09-25,,NOT_PUBLISHED,,S0_2026-09-10=None S1_2026-09-25=None S2_2026-09-25=None S3_2026-09-25=None S4_2026-09-25=None S5_2026-09-25=None
m_000001,,lx,egycar,market,UNCHANGED_NON_NUMERIC,S4_2026-09-25,,NOT_PUBLISHED,S5_2026-09-25,,NOT_PUBLISHED,,S0_2026-09-10=None S1_2026-09-25=None S2_2026-09-25=None S3_2026-09-25=None S4_2026-09-25=None S5_2026-09-25=None
m_000001,,premium,egycar,market,UNCHANGED_NON_NUMERIC,S4_2026-09-25,,NOT_PUBLISHED,S5_2026-09-25,,NOT_PUBLISHED,,S0_2026-09-10=None S1_2026-09-25=None S2_2026-09-25=None S3_2026-09-25=None S4_2026-09-25=None S5_2026-09-25=None
m_000001,,ex,egycar,official,UNCHANGED,S4_2026-09-25,1925000,OK,S5_2026-09-25,1925000,OK,,S0_2026-09-10=1925000 S1_2026-09-25=1925000 S2_2026-09-25=1925000 S3_2026-09-25=1925000 S4_2026-09-25=1925000 S5_2026-09-25=1925000
m_000001,,gtline,egycar,official,UNCHANGED,S4_2026-09-25,2400000,OK,S5_2026-09-25,2400000,OK,,S0_2026-09-10=2400000 S1_2026-09-25=2400000 S2_2026-09-25=2400000 S3_2026-09-25=2400000 S4_2026-09-25=2400000 S5_2026-09-25=2400000
m_000001,,highline,egycar,official,UNCHANGED,S4_2026-09-25,2075000,OK,S5_2026-09-25,2075000,OK,,S0_2026-09-10=2075000 S1_2026-09-25=2075000 S2_2026-09-25=2075000 S3_2026-09-25=2075000 S4_2026-09-25=2075000 S5_2026-09-25=2075000
m_000001,,lx,egycar,official,UNCHANGED,S4_2026-09-25,1825000,OK,S5_2026-09-25,1825000,OK,,S0_2026-09-10=1825000 S1_2026-09-25=1825000 S2_2026-09-25=1825000 S3_2026-09-25=1825000 S4_2026-09-25=1825000 S5_2026-09-25=1825000
m_000001,,premium,egycar,official,UNCHANGED,S4_2026-09-25,2300000,OK,S5_2026-09-25,2300000,OK,,S0_2026-09-10=2300000 S1_2026-09-25=2300000 S2_2026-09-25=2300000 S3_2026-09-25=2300000 S4_2026-09-25=2300000 S5_2026-09-25=2300000
m_000001,2025,ex,hatla2ee,market,UNCHANGED,S4_2026-09-25,1919900,OK,S5_2026-09-25,1919900,OK,,S0_2026-09-10=1919900 S1_2026-09-25=1919900 S2_2026-09-25=1919900 S3_2026-09-25=1919900 S4_2026-09-25=1919900 S5_2026-09-25=1919900
