model_id,model_year,trim_key,source,price_type,change,s0_value,s0_status,s1_value,s1_status,delta_egp
m_000002,2026,blackdiamond,contactcars,official,UNCHANGED,2200000,OK,2200000,OK,
m_000002,2026,blaze,contactcars,official,UNCHANGED,1850000,OK,1850000,OK,
m_000002,2026,night,contactcars,official,UNCHANGED,2100000,OK,2100000,OK,
m_000002,2026,nlineawd,contactcars,official,UNCHANGED,2300000,OK,2300000,OK,
m_000002,2026,othertrims,contactcars,official,NEW_IN_S1,,,,NOT_PUBLISHED,
m_000002,2026,redline,contactcars,official,UNCHANGED,1950000,OK,1950000,OK,
m_000002,2026,redlinenpack,contactcars,official,UNCHANGED,2025000,OK,2025000,OK,
m_000002,2026,shadow,contactcars,official,UNCHANGED,1700000,OK,1700000,OK,
m_000002,2027,blackdiamond,contactcars,official,UNCHANGED,2300000,OK,2300000,OK,
m_000002,2027,blaze,contactcars,official,UNCHANGED,1950000,OK,1950000,OK,
m_000002,2027,night,contactcars,official,UNCHANGED,2200000,OK,2200000,OK,
m_000002,2027,nlineawd,contactcars,official,UNCHANGED,2400000,OK,2400000,OK,
m_000002,2027,othertrims,contactcars,official,NEW_IN_S1,,,,NOT_PUBLISHED,
m_000002,2027,redline,contactcars,official,UNCHANGED,2050000,OK,2050000,OK,
m_000002,2027,redlinenpack,contactcars,official,AMBIGUOUS_DUPLICATE_ROWS,,OK,2125000,OK,
m_000002,2027,shadow,contactcars,official,UNCHANGED,1800000,OK,1800000,OK,
m_000002,,blackdiamond,egycar,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000002,,blaze,egycar,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000002,,night,egycar,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000002,,nline,egycar,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000002,,redline,egycar,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000002,,redlinenline,egycar,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000002,,shadow,egycar,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000002,,blackdiamond,egycar,official,UNCHANGED,2300000,OK,2300000,OK,
m_000002,,blaze,egycar,official,UNCHANGED,1950000,OK,1950000,OK,
m_000002,,night,egycar,official,UNCHANGED,2200000,OK,2200000,OK,
m_000002,,nline,egycar,official,UNCHANGED,2400000,OK,2400000,OK,
m_000002,,redline,egycar,official,UNCHANGED,2050000,OK,2050000,OK,
m_000002,,redlinenline,egycar,official,UNCHANGED,2125000,OK,2125000,OK,
m_000002,,shadow,egycar,official,UNCHANGED,1800000,OK,1800000,OK,
m_000002,2025,blackdiamond,hatla2ee,market,UNCHANGED,1999000,OK,1999000,OK,
m_000002,2025,blaze,hatla2ee,market,UNCHANGED,1649000,OK,1649000,OK,
m_000002,2025,night,hatla2ee,market,UNCHANGED,1899000,OK,1899000,OK,
m_000002,2025,nline,hatla2ee,market,UNCHANGED,2099000,OK,2099000,OK,
m_000002,2025,redline,hatla2ee,market,UNCHANGED,1749000,OK,1749000,OK,
m_000002,2025,shadow,hatla2ee,market,UNCHANGED,1499000,OK,1499000,OK,
m_000002,2027,blackdiamond,hatla2ee,market,UNCHANGED_NON_NUMERIC,,NOT_AVAILABLE,,NOT_PUBLISHED,
m_000002,2027,blaze,hatla2ee,market,UNCHANGED_NON_NUMERIC,,NOT_AVAILABLE,,NOT_PUBLISHED,
m_000002,2027,night,hatla2ee,market,UNCHANGED_NON_NUMERIC,,NOT_AVAILABLE,,NOT_PUBLISHED,
m_000002,2027,nline,hatla2ee,market,UNCHANGED_NON_NUMERIC,,NOT_AVAILABLE,,NOT_PUBLISHED,
m_000002,2027,redline,hatla2ee,market,UNCHANGED_NON_NUMERIC,,NOT_AVAILABLE,,NOT_PUBLISHED,
m_000002,2027,redlinenpack,hatla2ee,market,UNCHANGED_NON_NUMERIC,,NOT_AVAILABLE,,NOT_PUBLISHED,
m_000002,2027,shadow,hatla2ee,market,UNCHANGED_NON_NUMERIC,,NOT_AVAILABLE,,NOT_PUBLISHED,
m_000002,2025,blackdiamond,hatla2ee,official,UNCHANGED,1999000,OK,1999000,OK,
m_000002,2025,blaze,hatla2ee,official,UNCHANGED,1649000,OK,1649000,OK,
m_000002,2025,night,hatla2ee,official,UNCHANGED,1899000,OK,1899000,OK,
m_000002,2025,nline,hatla2ee,official,UNCHANGED,2099000,OK,2099000,OK,
m_000002,2025,redline,hatla2ee,official,UNCHANGED,1749000,OK,1749000,OK,
m_000002,2025,shadow,hatla2ee,official,UNCHANGED,1499000,OK,1499000,OK,
m_000002,2027,blackdiamond,hatla2ee,official,UNCHANGED,2275000,OK,2275000,OK,
m_000002,2027,blaze,hatla2ee,official,UNCHANGED,1925000,OK,1925000,OK,
m_000002,2027,night,hatla2ee,official,UNCHANGED,2175000,OK,2175000,OK,
m_000002,2027,nline,hatla2ee,official,UNCHANGED,2375000,OK,2375000,OK,
m_000002,2027,redline,hatla2ee,official,UNCHANGED,2025000,OK,2025000,OK,
m_000002,2027,redlinenpack,hatla2ee,official,UNCHANGED,2100000,OK,2100000,OK,
m_000002,2027,shadow,hatla2ee,official,UNCHANGED,1775000,OK,1775000,OK,
m_000003,2026,rline,contactcars,market,UNCHANGED,2620000,OK,2620000,OK,
m_000003,2026,rline,contactcars,official,UNCHANGED,2590000,OK,2590000,OK,
m_000003,2025,rline,hatla2ee,market,UNCHANGED,2350000,OK,2350000,OK,
m_000003,2026,rline,hatla2ee,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000003,2025,rline,hatla2ee,official,UNCHANGED,2350000,OK,2350000,OK,
m_000003,2026,rline,hatla2ee,official,UNCHANGED,2590000,OK,2590000,OK,
m_000004,2027,idm,contactcars,market,CHANGED,2340000,OK,2320000,OK,-20000
m_000004,2027,luxury,contactcars,market,CHANGED,1980000,OK,1960000,OK,-20000
m_000004,2027,mattcolour,contactcars,market,CHANGED,2000000,OK,1960000,OK,-40000
m_000004,2027,idm,contactcars,official,UNCHANGED,2150000,OK,2150000,OK,
m_000004,2027,luxury,contactcars,official,UNCHANGED,1900000,OK,1900000,OK,
m_000004,2027,mattcolour,contactcars,official,UNCHANGED,1930000,OK,1930000,OK,
m_000005,2027,allure,hatla2ee,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000005,2027,gt,hatla2ee,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000005,2027,allure,hatla2ee,official,UNCHANGED,2099990,OK,2099990,OK,
m_000005,2027,gt,hatla2ee,official,UNCHANGED,2399990,OK,2399990,OK,
m_000006,2027,nconnecta,contactcars,market,CHANGED,1600000,OK,1580000,OK,-20000
