row_fingerprint,master_line,source,brand_raw,model_raw,trim_raw,model_year_raw,brand_id,model_id,method,trim_key,is_summary_row
9719a15482b1,50,ContactCars,Skoda,Octavia,Selection Loft,2026,skoda,skoda/octavia,exact_normalized,selectionloft,no
c7763ef29ebc,51,ContactCars,Skoda,Octavia,Selection Lounge,2026,skoda,skoda/octavia,exact_normalized,selectionlounge,no
55619ac429df,52,ContactCars,Skoda,Octavia,Selection Suite,2026,skoda,skoda/octavia,exact_normalized,selectionsuite,no
4befaf02446d,53,ContactCars,Skoda,KAROQ,Selection Suite,2026,skoda,skoda/karoq,exact_normalized,selectionsuite,no
f94c013f0270,54,ContactCars,Skoda,Superb,Selection Suite 1.5,2026,skoda,skoda/superb,exact_normalized,selectionsuite15,no
2d2ba67aa51b,55,ContactCars,Skoda,Superb,L&K 1.5,2026,skoda,skoda/superb,exact_normalized,lk15,no
95e4de35df2c,56,ContactCars,Skoda,Superb,L&K 2.0,2026,skoda,skoda/superb,exact_normalized,lk20,no
be3b08def09f,57,ContactCars,Skoda,KODIAQ,Selection Loft,2026,skoda,skoda/kodiaq,exact_normalized,selectionloft,no
d0a6b025c0bf,58,ContactCars,Skoda,KODIAQ,Selection Suite,2026,skoda,skoda/kodiaq,exact_normalized,selectionsuite,no
690e7cc01bbc,59,ContactCars,Skoda,KODIAQ,Sportline,2026,skoda,skoda/kodiaq,exact_normalized,sportline,no
fc4e14454eea,60,Hatla2ee,Skoda,Octavia,Loft,2026,skoda,skoda/octavia,exact_normalized,loft,no
8d55ffabc81c,61,Hatla2ee,Skoda,Octavia,Lounge,2026,skoda,skoda/octavia,exact_normalized,lounge,no
65628ec41f20,62,Hatla2ee,Skoda,Octavia,Suite,2026,skoda,skoda/octavia,exact_normalized,suite,no
206d7491f256,63,Hatla2ee,Skoda,KAROQ,Suite,2026,skoda,skoda/karoq,exact_normalized,suite,no
faa7da2e8eb8,64,Hatla2ee,Skoda,Superb,Selection,2026,skoda,skoda/superb,exact_normalized,selection,no
a324751bf682,65,Hatla2ee,Skoda,Superb,L&K 1.5,2026,skoda,skoda/superb,exact_normalized,lk15,no
447916fe79f5,66,Hatla2ee,Skoda,Superb,L&K 2.0,2026,skoda,skoda/superb,exact_normalized,lk20,no
e6480be1f73c,67,Hatla2ee,Skoda,KODIAQ,Loft,2026,skoda,skoda/kodiaq,exact_normalized,loft,no
0dd95eb7e249,68,Hatla2ee,Skoda,KODIAQ,Suite,2026,skoda,skoda/kodiaq,exact_normalized,suite,no
8eb32531073a,69,Hatla2ee,Skoda,KODIAQ,Sportline,2026,skoda,skoda/kodiaq,exact_normalized,sportline,no
c445010834a6,70,Hatla2ee,Skoda,KODIAQ,Loft,2025,skoda,skoda/kodiaq,exact_normalized,loft,no
a8bfa917d7a8,71,Hatla2ee,Skoda,KODIAQ,Lounge,2025,skoda,skoda/kodiaq,exact_normalized,lounge,no
6731c7e2038b,72,Hatla2ee,Skoda,KODIAQ,Suite,2025,skoda,skoda/kodiaq,exact_normalized,suite,no
e5bdf1ad3593,73,Hatla2ee,Skoda,KODIAQ,Sportline,2025,skoda,skoda/kodiaq,exact_normalized,sportline,no
6c1099b72fd3,74,ContactCars,Volkswagen,Golf,Life,2025,volkswagen,volkswagen/golf,exact_normalized,life,no
