brand_id,fact,value,source,source_date,drive_file_id
seat,warranty,5 years / 100,000 km,SEAT Egypt price list (Kayan),2026-08-22,1UaB-J_dPqnDHskEy_2EZfDpstNOuIqR6
cupra,warranty,4 years / 120,000 km,CUPRA Egypt price list (Kayan),2026-08-22,1KOprMijB0TBRdyXGOyMBmdFqyWGF-EZD
seat,distributor,Kayan Egypt,SEAT Egypt price list,2026-08-22,1UaB-J_dPqnDHskEy_2EZfDpstNOuIqR6
cupra,distributor,Kayan Egypt,CUPRA Egypt price list,2026-08-22,1KOprMijB0TBRdyXGOyMBmdFqyWGF-EZD
mercedes,distributor,AGM (Mercedes-Benz Egypt),Mercedes-Benz Egypt retail price list,2026-01-13,15RVVzv1utkPz5mGNW8JvUOiYdr5xvEXL
